,metaID,domain,url,stream,topic,dt,partition,offset
0,YAm1uApAIIEAACcb76EAAAAA,www.wikidata.org,https://www.wikidata.org/wiki/Q104971167,mediawiki.recentchange,eqiad.mediawiki.recentchange,2021-01-21T17:11:20Z,0,2887301727
1,YAm1tgpAIHwABCtglGIAAADR,nl.wikipedia.org,https://nl.wikipedia.org/wiki/Acanthastrea_erythraea,mediawiki.recentchange,eqiad.mediawiki.recentchange,2021-01-21T17:11:18Z,0,2887301728
2,YAm1uApAMNwAALESd1YAAAEO,ja.wikipedia.org,https://ja.wikipedia.org/wiki/%E7%A5%9E%E6%A5%BD%E3%82%B7%E3%83%AA%E3%83%BC%E3%82%BA,mediawiki.recentchange,eqiad.mediawiki.recentchange,2021-01-21T17:11:20Z,0,2887301732
3,YAm1twpAMNYAA9DIVfQAAADK,it.wikipedia.org,https://it.wikipedia.org/wiki/Nana_%26_Kaoru,mediawiki.recentchange,eqiad.mediawiki.recentchange,2021-01-21T17:11:20Z,0,2887301735
4,YAm1uApAMNkAAuD9djEAAACH,www.wikidata.org,https://www.wikidata.org/wiki/Q37914681,mediawiki.recentchange,eqiad.mediawiki.recentchange,2021-01-21T17:11:20Z,0,2887301737
5,YAm1uQpAAE0AAGCtyJ0AAABR,www.wikidata.org,https://www.wikidata.org/wiki/Q9397506,mediawiki.recentchange,eqiad.mediawiki.recentchange,2021-01-21T17:11:21Z,0,2887301741
6,YAm1uEK3zo-qgiXOFZDIQwAAANA,es.wikipedia.org,https://es.wikipedia.org/wiki/Escuadra_de_carpintero,mediawiki.recentchange,eqiad.mediawiki.recentchange,2021-01-21T17:11:20Z,0,2887301742
7,YAm1twpAAE0AAGCtyCoAAABF,www.wikidata.org,https://www.wikidata.org/wiki/Q82767655,mediawiki.recentchange,eqiad.mediawiki.recentchange,2021-01-21T17:11:20Z,0,2887301745
8,YAm1uApAIDsAAAo0OIUAAAFW,en.wikipedia.org,https://en.wikipedia.org/wiki/Deepika_Mahila_Sanghati,mediawiki.recentchange,eqiad.mediawiki.recentchange,2021-01-21T17:11:20Z,0,2887301749
9,YAm1uApAEDYAAHTuLYQAAABI,www.wikidata.org,https://www.wikidata.org/wiki/Q82676830,mediawiki.recentchange,eqiad.mediawiki.recentchange,2021-01-21T17:11:21Z,0,2887301750
10,YAm1uApAEKYAARWU4JQAAAAT,lt.wikipedia.org,https://lt.wikipedia.org/wiki/Gvadalup%C4%97s_mergel%C4%97,mediawiki.recentchange,eqiad.mediawiki.recentchange,2021-01-21T17:11:20Z,0,2887301751
11,YAm1tQpAIDYAACMSIMYAAAFT,en.wikipedia.org,https://en.wikipedia.org/wiki/Zephyranthes_refugiensis,mediawiki.recentchange,eqiad.mediawiki.recentchange,2021-01-21T17:11:18Z,0,2887301752
12,YAm1ugpAIDkAAHm8RhYAAABD,www.wikidata.org,https://www.wikidata.org/wiki/Q36825770,mediawiki.recentchange,eqiad.mediawiki.recentchange,2021-01-21T17:11:22Z,0,2887301754
13,YAm1swpAIDYAACMSICgAAAFU,arz.wikipedia.org,https://arz.wikipedia.org/wiki/%D8%A8%D8%AD%D9%8A%D8%B1%D9%87_%D9%84%D8%A7%D9%83_%D8%A7%D9%88%D9%83%D8%B3_%D8%B3%D9%8A%D8%B1%D9%8A%D8%B3%D9%8A%D8%B1%D8%B3,mediawiki.recentchange,eqiad.mediawiki.recentchange,2021-01-21T17:11:15Z,0,2887301755
14,YAm1twpAEJsAASzh8L0AAAAD,zh.wikipedia.org,https://zh.wikipedia.org/wiki/%E9%87%8D%E5%BA%86%E5%8C%97%E7%AB%99,mediawiki.recentchange,eqiad.mediawiki.recentchange,2021-01-21T17:11:20Z,0,2887301756
15,YAm1tgpAMMYAAkGZv3EAAADD,en.wikipedia.org,https://en.wikipedia.org/wiki/Vishal_(actor),mediawiki.recentchange,eqiad.mediawiki.recentchange,2021-01-21T17:11:18Z,0,2887301757
16,YAm1uQpAEKAAAQpCWk8AAAAS,en.wiktionary.org,"https://en.wiktionary.org/wiki/if_all_you_have_is_a_hammer,_everything_looks_like_a_nail",mediawiki.recentchange,eqiad.mediawiki.recentchange,2021-01-21T17:11:21Z,0,2887301761
